Ingreso;Vehículo Mediano;19.71;1/3/2019;00:13:41
Ingreso;Vehículo Liviano;19.9;1/3/2019;00:13:46
Ingreso;Vehículo Liviano;46.73;1/3/2019;00:13:52
Salida;Vehículo Liviano;40.15;1/3/2019;00:13:54
Ingreso;Vehículo Liviano;69.67;1/3/2019;00:14:00
Ingreso;Vehículo Liviano;17.44;1/3/2019;00:14:05
Ingreso;Vehículo Liviano;22.47;1/3/2019;00:14:11
Salida;Vehículo Liviano;60.72;1/3/2019;00:14:11
Ingreso;Vehículo Liviano;11.76;1/3/2019;00:14:19
Salida;Vehículo Liviano;16.42;1/3/2019;00:14:26
Ingreso;Vehículo Liviano;35.64;1/3/2019;00:14:42
Ingreso;Vehículo Liviano;84.95;1/3/2019;00:14:44
Salida;Vehículo Liviano;27.1;1/3/2019;00:14:47
Ingreso;Vehículo Liviano;56.76;1/3/2019;00:15:06
Salida;Vehículo Liviano;103.86;1/3/2019;00:15:24
Ingreso;Vehículo Mediano;27.9;1/3/2019;00:15:31
Ingreso;Vehículo Pesado;16.57;1/3/2019;00:15:50
Ingreso;Vehículo Liviano;15.75;1/3/2019;00:15:53
Salida;Vehículo Liviano;131.49;1/3/2019;00:16:16
Ingreso;Vehículo Liviano;45.62;1/3/2019;00:16:30
Ingreso;Vehículo Liviano;19.16;1/3/2019;00:16:36
Salida;Vehículo Liviano;33.91;1/3/2019;00:16:44
Ingreso;Vehículo Liviano;21.6;1/3/2019;00:16:52
Ingreso;Vehículo Pesado;26.19;1/3/2019;00:16:53
Ingreso;Vehículo Liviano;17.68;1/3/2019;00:17:06
Ingreso;Vehículo Liviano;8.53;1/3/2019;00:17:37
Salida;Vehículo Liviano;21.57;1/3/2019;00:18:04
Salida;Vehículo Liviano;61.38;1/3/2019;00:18:06
Salida;Vehículo Liviano;8.83;1/3/2019;00:18:42
Salida;Vehículo Liviano;9.81;1/3/2019;00:18:44
Salida;Vehículo Liviano;13.06;1/3/2019;00:18:48
Salida;Vehículo Liviano;8.26;1/3/2019;00:18:52
Salida;Vehículo Liviano;10.46;1/3/2019;00:19:02
Salida;Vehículo Liviano;38.6;1/3/2019;00:19:07
Salida;Vehículo Liviano;20.9;1/3/2019;00:19:11
Ingreso;Vehículo Pesado;13.09;1/3/2019;00:19:12
Salida;Vehículo Liviano;7.1;1/3/2019;00:19:15
Ingreso;Vehículo Pesado;11.02;1/3/2019;00:19:25
Salida;Vehículo Liviano;27.88;1/3/2019;00:19:31
Ingreso;Vehículo Liviano;56.76;1/3/2019;00:19:36
Ingreso;Vehículo Pesado;6.19;1/3/2019;00:19:37
Salida;Vehículo Liviano;10.89;1/3/2019;00:19:39
Salida;Vehículo Liviano;23.44;1/3/2019;00:19:41
Salida;Vehículo Liviano;11.44;1/3/2019;00:19:41
Salida;Vehículo Liviano;18.16;1/3/2019;00:19:42
Ingreso;Vehículo Pesado;10.58;1/3/2019;00:19:44
Ingreso;Vehículo Pesado;9.6;1/3/2019;00:19:47
