Ingreso;Vehículo Mediano;40;2/3/2019;00:01:20
Salida;Vehículo Liviano;25.38;2/3/2019;00:02:32
Ingreso;Vehículo Liviano;92.1;2/3/2019;00:02:44
Salida;Vehículo Mediano;8.49;2/3/2019;00:02:57
Salida;Vehículo Liviano;63.79;2/3/2019;00:03:23
Salida;Vehículo Liviano;41.73;2/3/2019;00:03:23
Ingreso;Vehículo Liviano;102.63;2/3/2019;00:03:31
Ingreso;Vehículo Liviano;4;2/3/2019;00:03:47
Salida;Vehículo Liviano;28.68;2/3/2019;00:03:48
Salida;Vehículo Pesado;88.79;2/3/2019;00:03:56
